title,description,category,sub_category,type
Pottery Barn White Cameron Wall System Short Cabinet with Doors,"Pottery Barn White Cameron Wall System Short Cabinet with Doors  
 
 
 Brand  = Pottery Barn 
 
 Height  = 25""H 
 
 Depth  = 14""d 
 
 Width  = 29""w 
  
 
  Item Number:  
1392-122  
  Item ID:  
60411  
  Category:  
Cabinets  ",,,
Pottery Barn White Cameron Cubby Wall System Cabinet With 2 Doors,"Pottery Barn White Cameron Cubby Wall System Cabinet With 2 Doors  
 
 
 Brand  = Pottery Barn 
 
 Height  = 25""H 
 
 Depth  = 14""d 
 
 Width  = 29""w 
  
 
  Item Number:  
1392-123  
  Item ID:  
60412  
  Category:  
Cabinets  ",,,
Milk Paint Persian Blue Quart,"Milk Paint Persian Blue Quart  
 
  
 
  Item Number:  
700-181  
  Item ID:  
45096  
  Category:  
General Finishes Other  ",,,
Milk Paint Gulf Stream Quart,"Milk Paint Gulf Stream Quart  
 
  
 
  Item Number:  
700-180  
  Item ID:  
45095  
  Category:  
General Finishes Other  ",,,
Antique Wagon Wheel Wooden Round Coffee Table,"Antique Wagon Wheel Wooden Round Coffee Table  
 
 
 Height  = 20""h 
 
 Width  = 44""R 
  
 
  Item Number:  
437-258  
  Item ID:  
60417  
  Category:  
Coffee Tables  ",,,
 King Romance Comforter Set Pink,"*NEW* King Romance Comforter Set Pink  
 
 
 Brand  = Madison Park  
 
 Color  = Pink 
  
 
  Item Number:  
5788-292  
  Item ID:  
47316  
  Category:  
Bedding  ",,,
Young America by Stanley Furniture Teen White Desk LG223-21," This Young America by Stanley Furniture Teen White Desk is a perfect addition to any modern bedroom. Featuring a sleek and minimalist design, it offers a spacious work surface for studying and completing homework. Made with high-quality materials, this desk is built to last, providing a functional and stylish workspace for your teen. 
 Condition: Very good.  Please note yellow tint on one area of surface  
 Dimensions: 44 x 18 x 30""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Wicker Coffee Table w Lower Shelf LG223-23," This Wicker Coffee Table with Lower Shelf adds a touch of elegance to any living room. Made from high-quality wicker material, it provides both durability and style. The lower shelf offers additional storage space, making this a practical yet stylish choice for your home. 
 Condition: Very Good 
 Dimensions: 49 x 23 x 17""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Wesley Hall 2 Seater Grey Sofa Couch LG223-22," Experience comfortable luxury with the Wesley Hall 2 Seater Grey Sofa Couch. Crafted with expert precision, this couch offers a sleek and stylish addition to any living space. Featuring a spacious two-seater design, enjoy cozy nights in or entertain guests in style. Upgrade your home decor with the ultimate combination of comfort and elegance. 
 Condition: Fair. 
 Dimensions: 84 x 40 x 29""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Vintage Carved Wood Dining Table Desk LG223-19," Expertly crafted from solid wood, our Vintage Carved Wood Dining Table Desk is a stunning addition to any home. Its intricate carving and timeless design make it a beautiful and functional piece for dining or work. Elevate your space with this unique and durable table desk. 
 Condition: Very Good  
 Dimensions: 72 x 39 x 30""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
Rose Tarlow Melrose House Henley Armchair Wicker Seat LG223-7," Expertly crafted with a wicker seat, the Rose Tarlow Melrose House Henley Armchair offers both style and comfort. With its timeless design and durable materials, this armchair is perfect for any home. Elevate your space with this handpicked piece from Rose Tarlow Melrose House. 
 Condition: Excellent 
 Dimensions: 24 x 24 x 41""H 
 Local pick up Potomac, MD.  Contact us for shipper suggestions. ",,,
